TRADE_DATE|TRADE_TIME|SYMBOL          |SIDE            |QUANTITY        |PRICE           |EXECUTION_ID    |COUNTERPARTY
2022-10-05|09:44:11  |F               |BUY             |             800|        12.32000|           73817|        6000
2022-10-05|10:57:53  |SPY             |BUY             |             100|       374.82000|          466441|        6000
2022-10-05|09:49:34  |AMZN            |BUY             |             900|       123.09000|          105677|       10000
2022-10-05|10:47:47  |SPY             |BUY             |             600|       381.74000|          412515|        5000
2022-10-05|10:48:25  |AMZN            |SELL_SHORT      |             400|       133.82000|          416577|        8000
2022-10-05|10:18:15  |AMZN            |SELL_SHORT      |             200|       125.85000|          252739|        6000
2022-10-05|10:46:06  |TSLA            |SELL            |             400|       226.09000|          403938|       10000
2022-10-05|09:52:52  |MSFT            |SELL_SHORT      |            1000|       251.12000|          123520|       10000
2022-10-05|10:16:29  |GOOG            |BUY             |             200|       103.26000|          241567|        4000
2022-10-05|09:58:54  |GOOGL           |SELL            |             400|       100.72000|          150739|        3000
2022-10-05|10:41:55  |MSFT            |SELL_SHORT      |             600|       254.46000|          377289|        3000
2022-10-05|10:14:05  |GOOG            |SELL_SHORT      |             200|       103.22000|          227985|        5000
2022-10-05|10:31:20  |META            |BUY             |             700|       128.55000|          320765|        8000
2022-10-05|10:54:54  |GOOGL           |SELL            |             600|       100.73000|          451839|        9000
2022-10-05|10:13:56  |AMZN            |BUY             |            1000|       124.26000|          226932|        1000
2022-10-05|10:48:24  |GOOGL           |SELL            |             400|       100.91000|          415649|        4000
2022-10-05|10:48:59  |AMD             |BUY             |             800|        67.36000|          419116|        3000
2022-10-05|09:47:54  |AMZN            |SELL_SHORT      |             500|       122.70000|           95249|        7000
2022-10-05|10:28:32  |SPY             |BUY             |             300|       386.55000|          303846|        7000
2022-10-05|09:59:26  |AMZN            |SELL_SHORT      |             600|       124.06000|          154033|        1000
2022-10-05|10:46:28  |F               |BUY             |             700|        11.35000|          406061|        8000
2022-10-05|09:54:44  |AMD             |BUY             |             500|        65.77000|          131038|        3000
2022-10-05|09:47:23  |AAPL            |BUY             |             600|       145.96000|           91415|        8000
2022-10-05|10:31:49  |MSFT            |BUY             |             900|       258.11000|          322870|        5000
2022-10-05|09:43:28  |META            |SELL            |             400|       139.65000|           71116|        4000
2022-10-05|10:23:35  |TSLA            |BUY             |             900|       231.19000|          278523|        6000
2022-10-05|10:17:23  |SPY             |BUY             |             400|       380.56000|          245589|        5000
2022-10-05|10:13:10  |GOOG            |SELL_SHORT      |             600|       102.75000|          223968|       10000
2022-10-05|10:46:16  |AMD             |SELL            |             600|        68.01000|          405065|        5000
2022-10-05|10:39:14  |MSFT            |BUY             |             300|       252.63000|          361221|        4000
2022-10-05|09:39:36  |TSLA            |BUY             |             700|       238.16000|           53529|        9000
2022-10-05|09:53:15  |AMD             |BUY             |             200|        65.23000|          125782|        3000
2022-10-05|09:30:02  |META            |SELL            |            1000|       139.45000|             355|       10000
2022-10-05|09:51:15  |AAPL            |BUY             |             800|       143.17000|          115484|        2000
2022-10-05|10:57:17  |META            |SELL            |             100|       127.52000|          463524|       10000
2022-10-05|09:51:01  |GOOG            |BUY             |             100|       103.64000|          114344|        9000
2022-10-05|09:38:29  |AAPL            |SELL_SHORT      |             900|       147.98000|           47667|        5000
2022-10-05|09:43:16  |AMD             |SELL            |             300|        65.79000|           70817|        6000
2022-10-05|09:30:56  |GOOGL           |SELL            |             200|       101.44000|            7260|        9000
2022-10-05|10:28:21  |GOOG            |SELL_SHORT      |             400|       101.96000|          302428|        1000
2022-10-05|10:22:04  |SPY             |SELL_SHORT      |             100|       389.26000|          273415|       10000
2022-10-05|10:12:45  |AMZN            |BUY             |             300|       122.27000|          222524|        8000
2022-10-05|09:46:58  |AMD             |BUY             |            1000|        65.62000|           90561|        1000
2022-10-05|10:40:44  |META            |BUY             |             100|       127.78000|          368855|        9000
2022-10-05|09:57:49  |AAPL            |SELL_SHORT      |             400|       142.90000|          146258|        9000
2022-10-05|09:56:55  |AMZN            |BUY             |             400|       125.98000|          139160|        9000
2022-10-05|10:21:20  |AMZN            |SELL_SHORT      |             900|       125.60000|          267246|        7000
